Sample	qualimap_bamqc-avg_gc	qualimap_bamqc-median_insert_size	qualimap_bamqc-1_x_pc	qualimap_bamqc-5_x_pc	qualimap_bamqc-10_x_pc	qualimap_bamqc-30_x_pc	qualimap_bamqc-50_x_pc	qualimap_bamqc-median_coverage	star-total_reads	star-mapped	star-mapped_percent	star-uniquely_mapped	star-uniquely_mapped_percent	star-multimapped	qualimap_bamqc-mean_coverage	qualimap_bamqc-percentage_aligned_on_target	qualimap_bamqc-regions_size	qualimap_bamqc-regions_mapped_reads	qualimap_bamqc-general_error_rate	qualimap_bamqc-percentage_aligned	qualimap_bamqc-mapped_reads	qualimap_bamqc-mapped_paired_reads	qualimap_bamqc-total_reads	qualimap_bamqc-ns	qualimap_bamqc-duplication_rate	samtools_stats-error_rate	samtools_stats-non_primary_alignments	samtools_stats-reads_mapped	samtools_stats-reads_mapped_percent	samtools_stats-reads_properly_paired_percent	samtools_stats-reads_MQ0_percent	samtools_stats-raw_total_sequences	samtools_stats-insert_size_average
1-1_raw	49.76371762355531	322	8.163016308632852	3.1127603295603143	2.363123889659509	1.4776573471062464	1.074561683438665	0	21.834023	21.716067	99.46000000000001	19.963290999999998	91.43	1.752776																			
1-1_raw._STARpass1									21.834023	21.72647	99.50999999999999	19.993857	91.57	1.732613																			
1-1_raw.sort															47.5104	98.89624542610966	1487606179	42.952735	0.0	99.45972622635783	43.432119	42.95272	43.668046	20324	41.74								
1-1_raw_bam_stats																										0.0	5.222411999999999	43.432119	99.45972622635783	99.45969187629782	0.4507094272090856	43.668046	1662.9
1-2_raw	49.57291669534878	321	8.44434910081131	3.1717078529289977	2.400695258203818	1.5273383050394012	1.1307847626250012	0	23.578187999999997	23.413728	99.3	21.539693	91.35	1.874035																			
1-2_raw._STARpass1									23.578187999999997	23.424781	99.35	21.578477	91.52	1.846304																			
1-2_raw.sort															50.8707	98.8120896636673	1487606179	46.271172	0.0	99.30245699966427	46.827439999999996	46.271156	47.156375999999995	33337	42.84								
1-2_raw_bam_stats																										0.0	5.623125	46.827439999999996	99.30245699966427	99.30242307000012	0.4460011939848813	47.156375999999995	1664.9
1-3_raw	49.94951784752181	372	7.997191372246915	3.0176967287254053	2.2920351825185583	1.417732347292166	1.0240987981268663	0	20.435606999999997	20.328049	99.48	18.77798	91.89	1.550069																			
1-3_raw._STARpass1									20.435606999999997	20.3367	99.52	18.816774	92.08	1.5199259999999999																			
1-3_raw.sort															44.7743	98.9666295742318	1487606179	40.235960999999996	0.0	99.47365155338915	40.656089	40.235952	40.871213999999995	18378	41.51								
1-3_raw_bam_stats																										0.0	4.644233	40.656089	99.47365155338915	99.4736295330009	0.4297156428972234	40.871213999999995	1797.1
2-1_raw	50.18352355451308	343	14.697949705141687	5.257262715362787	3.3327864390377746	1.970186694149245	1.5581867921241002	0	43.432207999999996	42.950067	98.89	40.394708	93.01	2.5553589999999997																			
2-1_raw._STARpass1									43.432207999999996	42.982796	98.96000000000001	40.454554	93.14	2.528242																			
2-1_raw.sort															86.1525	97.95406472157103	1487606179	84.142618	0.0	98.8898353958887	85.900078	84.142562	86.86441599999999	97523	61.87								
2-1_raw_bam_stats																										0.0	8.370687	85.900078	98.8898353958887	98.88977092760285	0.43368506616103886	86.86441599999999	1662.9
2-2_raw	49.56447616712343	311	12.61238254106499	4.10675915860121	2.6735933583400366	1.586470823606333	1.2063449489073412	0	28.773742	28.401539999999997	98.7	26.578727999999998	92.37	1.8228119999999999																			
2-2_raw._STARpass1									28.773742	28.422658	98.78	26.618014	92.51	1.804644																			
2-2_raw.sort															53.9659	97.5640308814349	1487606179	55.419354999999996	0.0	98.70641781663295	56.803059999999995	55.419337	57.547484	56845	54.97								
2-2_raw_bam_stats																										0.0	5.891302	56.803059999999995	98.70641781663295	98.70638306272434	0.45703127525088677	57.547484	1570.0
2-3_raw	51.033467857643714	367	12.155812980123418	3.864018636884137	2.6307270400226	1.5740231070927813	1.1792692345357623	0	25.223376	24.825231	98.42	23.394952999999997	92.75	1.430278																			
2-3_raw._STARpass1									25.223376	24.841914	98.47999999999999	23.428649	92.88	1.413265																			
2-3_raw.sort															51.4673	98.09511406618921	1487606179	48.704643	0.0	98.42145436836053	49.650427	48.704609999999995	50.446752	40256	49.98								
2-3_raw_bam_stats																										0.0	4.64934	49.650427	98.42145436836053	98.42138498827437	0.4075743072616449	50.446752	1743.6
