Sample	Uniquely mapped	Mapped to multiple loci	Mapped to too many loci	Unmapped: too many mismatches	Unmapped: too short	Unmapped: other
1-1_raw	19963291.0	1752776.0	5932.0	40932.0	56012.0	15080.0
1-1_raw._STARpass1	19993857.0	1732613.0	5683.0	41181.0	54186.0	6502.0
1-2_raw	21539693.0	1874035.0	6294.0	66099.0	77903.0	14164.0
1-2_raw._STARpass1	21578477.0	1846304.0	6027.0	65502.0	74860.0	7018.0
1-3_raw	18777980.0	1550069.0	4982.0	38215.0	52294.0	12068.0
1-3_raw._STARpass1	18816774.0	1519926.0	4669.0	36876.0	51216.0	6146.0
2-1_raw	40394708.0	2555359.0	13008.0	122764.0	298141.0	48229.0
2-1_raw._STARpass1	40454554.0	2528242.0	12888.0	122227.0	288106.0	26191.0
2-2_raw	26578728.0	1822812.0	9026.0	89353.0	239235.0	34588.0
2-2_raw._STARpass1	26618014.0	1804644.0	9095.0	89090.0	232782.0	20117.0
2-3_raw	23394953.0	1430278.0	6924.0	83292.0	280165.0	27764.0
2-3_raw._STARpass1	23428649.0	1413265.0	6984.0	80968.0	275798.0	17712.0
