gene_id	2-2	1-1	2-3	1-3	1-2	2-1
ENSMUSG00000000001	31.22	21.54	27.74	21.7	23.7	29.34
ENSMUSG00000000003	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000028	2.07	4.12	2.72	4.01	3.69	2.32
ENSMUSG00000000031	94.53	224.6	81.15	213.0	250.01	90.44
ENSMUSG00000000037	0.36	0.26	0.59	0.12	0.46	0.3
ENSMUSG00000000049	2.89	4.85	7.79	6.06	0.19	0.23
ENSMUSG00000000056	20.18	29.07	19.75	28.75	36.48	19.54
ENSMUSG00000000058	2.42	5.33	3.01	4.95	5.51	3.11
ENSMUSG00000000078	122.05	34.34	100.48	37.9	35.87	113.23
ENSMUSG00000000085	17.38	24.66	16.21	21.37	24.6	19.5
ENSMUSG00000000088	729.72	820.12	1044.79	652.16	640.51	766.64
ENSMUSG00000000093	0.3	0.51	0.8	0.54	0.37	0.3
ENSMUSG00000000094	0.03	0.02	0.0	0.0	0.04	0.03
ENSMUSG00000000103	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000120	0.06	0.12	0.06	0.1	0.09	0.19
ENSMUSG00000000125	0.02	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000126	3.46	3.48	5.18	3.43	3.15	4.97
ENSMUSG00000000127	8.48	14.1	7.37	13.48	16.73	7.27
ENSMUSG00000000131	23.25	13.69	20.98	15.33	16.45	22.63
ENSMUSG00000000134	15.8	12.45	16.93	13.68	11.96	16.84
ENSMUSG00000000142	2.05	0.37	2.65	0.28	0.48	2.72
ENSMUSG00000000148	5.27	4.55	7.48	4.55	4.94	5.89
ENSMUSG00000000149	22.03	34.65	27.18	33.82	36.35	27.07
ENSMUSG00000000154	0.16	0.55	0.26	0.67	0.05	0.05
ENSMUSG00000000157	0.04	0.0	0.0	0.05	0.0	0.04
ENSMUSG00000000159	0.4	0.16	0.22	0.29	0.21	0.15
ENSMUSG00000000167	1.98	1.63	1.6	1.21	1.5	1.67
ENSMUSG00000000168	124.64	107.01	95.91	98.03	125.71	115.73
ENSMUSG00000000171	594.06	394.55	567.81	401.32	377.68	591.65
ENSMUSG00000000182	0.09	8.79	0.07	6.68	10.68	0.08
ENSMUSG00000000183	0.05	0.01	0.05	0.0	0.0	0.01
ENSMUSG00000000184	16.04	124.8	16.17	108.11	150.15	16.59
ENSMUSG00000000194	27.0	23.02	21.66	18.81	21.38	32.06
ENSMUSG00000000197	0.0	0.0	0.0	0.02	0.0	0.02
ENSMUSG00000000202	0.02	0.04	0.08	0.0	0.0	0.01
ENSMUSG00000000204	0.03	0.0	0.0	0.0	0.0	0.06
ENSMUSG00000000214	0.5	0.36	0.21	0.06	0.16	0.29
ENSMUSG00000000215	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000216	0.0	0.02	0.0	0.0	0.0	0.0
ENSMUSG00000000223	0.02	0.06	0.07	0.06	0.1	0.05
ENSMUSG00000000244	0.46	0.29	0.55	0.16	0.29	0.71
ENSMUSG00000000247	0.0	0.06	0.0	0.13	0.02	0.0
ENSMUSG00000000248	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000253	16.63	19.33	19.38	22.56	22.44	17.75
ENSMUSG00000000263	0.06	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000266	11.14	15.39	8.95	15.04	18.86	10.58
ENSMUSG00000000275	4.07	4.59	5.0	4.33	3.97	3.97
ENSMUSG00000000276	2.97	2.23	2.18	1.75	2.2	2.28
ENSMUSG00000000278	16.71	41.91	16.02	40.71	44.76	14.69
ENSMUSG00000000282	3.64	3.33	4.28	3.48	3.9	4.47
ENSMUSG00000000290	0.17	2.76	0.08	3.0	2.94	0.06
ENSMUSG00000000295	27.89	22.86	25.04	26.84	24.13	25.34
ENSMUSG00000000296	3.02	1.81	3.97	2.26	3.22	3.65
ENSMUSG00000000301	8.91	5.96	7.01	8.24	5.51	7.62
ENSMUSG00000000303	0.23	0.03	0.31	0.09	0.0	0.38
ENSMUSG00000000305	0.43	0.2	0.22	0.18	0.17	0.2
ENSMUSG00000000308	0.79	1.32	1.44	1.69	1.5	1.32
ENSMUSG00000000317	1.39	2.22	1.63	2.21	2.23	1.74
ENSMUSG00000000318	0.0	0.0	0.1	0.0	0.0	0.01
ENSMUSG00000000320	0.12	0.09	0.04	0.18	0.06	0.02
ENSMUSG00000000326	134.86	110.1	163.96	103.82	99.52	153.28
ENSMUSG00000000339	43.67	27.94	48.46	25.33	25.03	43.8
ENSMUSG00000000340	14.58	19.88	12.23	22.46	23.37	14.43
ENSMUSG00000000346	58.73	116.53	51.82	112.83	118.74	60.12
ENSMUSG00000000355	56.05	42.87	51.36	44.09	43.27	56.42
ENSMUSG00000000359	0.2	3.29	0.78	2.07	2.83	0.85
ENSMUSG00000000365	0.23	0.35	0.39	0.31	0.38	0.1
ENSMUSG00000000374	14.34	14.97	12.37	15.27	18.11	12.75
ENSMUSG00000000378	36.02	24.87	38.49	23.25	24.23	36.31
ENSMUSG00000000381	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000384	68.97	34.03	111.04	33.76	38.75	95.48
ENSMUSG00000000385	0.08	0.0	0.02	0.05	0.0	0.48
ENSMUSG00000000386	0.09	0.0	0.07	0.03	0.0	0.05
ENSMUSG00000000392	0.02	0.89	0.13	0.97	0.87	0.05
ENSMUSG00000000394	0.0	0.0	0.0	0.0	0.0	0.18
