Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other	mapped_percent	mapped
1-1_raw	21834023.0	297.0	19963291.0	91.43	297.26	24565860.0	24565491.0	24320040.0	213615.0	25158.0	7047.0	0.28	0.01	1.44	0.01	2.26	1752776.0	8.03	5932.0	0.03	0.19	0.26	0.07	40932	56012	15080	99.46000000000001	21716067.0
1-1_raw._STARpass1	21834023.0	297.0	19993857.0	91.57	297.28	24548905.0	24387191.0	24314086.0	198658.0	21444.0	14717.0	0.28	0.01	1.44	0.01	2.26	1732613.0	7.94	5683.0	0.03	0.19	0.25	0.03	41181	54186	6502	99.50999999999999	21726470.0
1-2_raw	23578188.0	297.0	21539693.0	91.35	297.19	26261420.0	26261012.0	26004490.0	223829.0	23715.0	9386.0	0.34	0.01	1.46	0.01	2.3	1874035.0	7.95	6294.0	0.03	0.28	0.33	0.06	66099	77903	14164	99.3	23413728.0
1-2_raw._STARpass1	23578188.0	297.0	21578477.0	91.52	297.21	26245929.0	26074605.0	25995635.0	211802.0	22730.0	15762.0	0.34	0.01	1.46	0.01	2.3	1846304.0	7.83	6027.0	0.03	0.28	0.32	0.03	65502	74860	7018	99.35	23424781.0
1-3_raw	20435607.0	298.0	18777980.0	91.89	297.31	23682129.0	23681726.0	23451281.0	200946.0	22598.0	7304.0	0.3	0.01	1.63	0.01	2.21	1550069.0	7.59	4982.0	0.02	0.19	0.26	0.06	38215	52294	12068	99.48	20328049.0
1-3_raw._STARpass1	20435607.0	298.0	18816774.0	92.08	297.33	23693761.0	23540099.0	23467904.0	190358.0	20468.0	15031.0	0.3	0.01	1.63	0.01	2.2	1519926.0	7.44	4669.0	0.02	0.18	0.25	0.03	36876	51216	6146	99.52	20336700.0
2-1_raw	43432208.0	297.0	40394708.0	93.01	296.67	50177506.0	50176383.0	49651824.0	455282.0	50566.0	19834.0	0.41	0.01	1.51	0.01	2.24	2555359.0	5.88	13008.0	0.03	0.28	0.68	0.11	122764	298141	48229	98.89	42950067.0
2-1_raw._STARpass1	43432208.0	297.0	40454554.0	93.14	296.7	50153008.0	49395759.0	49617539.0	438956.0	50609.0	45904.0	0.41	0.01	1.51	0.01	2.25	2528242.0	5.82	12888.0	0.03	0.28	0.66	0.06	122227	288106	26191	98.96000000000001	42982796.0
2-2_raw	28773742.0	297.0	26578728.0	92.37	296.44	31108615.0	31107971.0	30776756.0	288235.0	33062.0	10562.0	0.37	0.01	1.36	0.01	2.21	1822812.0	6.33	9026.0	0.03	0.31	0.83	0.12	89353	239235	34588	98.7	28401540.0
2-2_raw._STARpass1	28773742.0	297.0	26618014.0	92.51	296.47	31086118.0	30603063.0	30747435.0	277008.0	31207.0	30468.0	0.37	0.01	1.35	0.01	2.21	1804644.0	6.27	9095.0	0.03	0.31	0.81	0.07	89090	232782	20117	98.78	28422658.0
2-3_raw	25223376.0	297.0	23394953.0	92.75	296.79	29421569.0	29420950.0	29135679.0	248350.0	29588.0	7952.0	0.37	0.01	1.7	0.01	2.32	1430278.0	5.67	6924.0	0.03	0.33	1.11	0.11	83292	280165	27764	98.42	24825231.0
2-3_raw._STARpass1	25223376.0	297.0	23428649.0	92.88	296.82	29425876.0	28984869.0	29120801.0	249391.0	28955.0	26729.0	0.37	0.01	1.69	0.01	2.32	1413265.0	5.6	6984.0	0.03	0.32	1.09	0.07	80968	275798	17712	98.47999999999999	24841914.0
