Sample	Total reads	Aligned	Uniq aligned	Multimapped	Avg. read len	Avg. mapped len	Splices	Annotated splices	GT/AG splices	GC/AG splices	AT/AC splices	Non-canonical splices	Mismatch rate	Del rate	Del len	Ins rate	Ins len
1-1_raw	21.834023	99.46000000000001	91.43	1.752776	297.0	297.26	24.565859999999997	24.565490999999998	24.32004	0.213615	0.025158	0.0070469999999999994	0.28	0.01	1.44	0.01	2.26
1-1_raw._STARpass1	21.834023	99.50999999999999	91.57	1.732613	297.0	297.28	24.548904999999998	24.387190999999998	24.314086	0.198658	0.021443999999999998	0.014717	0.28	0.01	1.44	0.01	2.26
1-2_raw	23.578187999999997	99.3	91.35	1.874035	297.0	297.19	26.261419999999998	26.261011999999997	26.00449	0.223829	0.023715	0.009386	0.34	0.01	1.46	0.01	2.3
1-2_raw._STARpass1	23.578187999999997	99.35	91.52	1.846304	297.0	297.21	26.245929	26.074605	25.995635	0.211802	0.02273	0.015761999999999998	0.34	0.01	1.46	0.01	2.3
1-3_raw	20.435606999999997	99.48	91.89	1.550069	298.0	297.31	23.682129	23.681725999999998	23.451280999999998	0.20094599999999999	0.022598	0.007304	0.3	0.01	1.63	0.01	2.21
1-3_raw._STARpass1	20.435606999999997	99.52	92.08	1.5199259999999999	298.0	297.33	23.693761	23.540098999999998	23.467903999999997	0.190358	0.020468	0.015031	0.3	0.01	1.63	0.01	2.2
2-1_raw	43.432207999999996	98.89	93.01	2.5553589999999997	297.0	296.67	50.177506	50.176382999999994	49.651824	0.45528199999999996	0.050566	0.019833999999999997	0.41	0.01	1.51	0.01	2.24
2-1_raw._STARpass1	43.432207999999996	98.96000000000001	93.14	2.528242	297.0	296.7	50.153008	49.395759	49.617539	0.43895599999999996	0.050608999999999994	0.045904	0.41	0.01	1.51	0.01	2.25
2-2_raw	28.773742	98.7	92.37	1.8228119999999999	297.0	296.44	31.108615	31.107971	30.776756	0.28823499999999996	0.033062	0.010562	0.37	0.01	1.36	0.01	2.21
2-2_raw._STARpass1	28.773742	98.78	92.51	1.804644	297.0	296.47	31.086118	30.603063	30.747435	0.277008	0.031207	0.030468	0.37	0.01	1.35	0.01	2.21
2-3_raw	25.223376	98.42	92.75	1.430278	297.0	296.79	29.421568999999998	29.420949999999998	29.135679	0.24835	0.029588	0.007951999999999999	0.37	0.01	1.7	0.01	2.32
2-3_raw._STARpass1	25.223376	98.47999999999999	92.88	1.413265	297.0	296.82	29.425876	28.984869	29.120801	0.249391	0.028954999999999998	0.026729	0.37	0.01	1.69	0.01	2.32
