gene_id	2-2	1-1	2-3	1-3	1-2	2-1
ENSMUSG00000000001	27.87	17.56	25.71	18.78	19.14	26.54
ENSMUSG00000000003	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000028	1.85	3.36	2.52	3.47	2.98	2.1
ENSMUSG00000000031	84.4	183.12	75.21	184.3	201.88	81.83
ENSMUSG00000000037	0.32	0.21	0.54	0.11	0.37	0.27
ENSMUSG00000000049	2.58	3.96	7.22	5.24	0.16	0.21
ENSMUSG00000000056	18.02	23.7	18.31	24.88	29.46	17.68
ENSMUSG00000000058	2.16	4.35	2.79	4.28	4.45	2.81
ENSMUSG00000000078	108.97	28.0	93.13	32.79	28.97	102.45
ENSMUSG00000000085	15.52	20.11	15.03	18.49	19.86	17.64
ENSMUSG00000000088	651.52	668.66	968.42	564.27	517.2	693.63
ENSMUSG00000000093	0.27	0.42	0.74	0.47	0.3	0.28
ENSMUSG00000000094	0.03	0.02	0.0	0.0	0.04	0.03
ENSMUSG00000000103	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000120	0.05	0.1	0.06	0.09	0.08	0.17
ENSMUSG00000000125	0.02	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000126	3.09	2.83	4.8	2.96	2.55	4.5
ENSMUSG00000000127	7.57	11.5	6.83	11.67	13.51	6.58
ENSMUSG00000000131	20.76	11.16	19.45	13.27	13.28	20.48
ENSMUSG00000000134	14.11	10.15	15.69	11.84	9.66	15.23
ENSMUSG00000000142	1.83	0.3	2.46	0.24	0.39	2.46
ENSMUSG00000000148	4.71	3.71	6.93	3.93	3.99	5.33
ENSMUSG00000000149	19.67	28.25	25.2	29.26	29.35	24.49
ENSMUSG00000000154	0.14	0.45	0.24	0.58	0.04	0.04
ENSMUSG00000000157	0.03	0.0	0.0	0.05	0.0	0.04
ENSMUSG00000000159	0.36	0.13	0.21	0.25	0.17	0.14
ENSMUSG00000000167	1.77	1.33	1.48	1.05	1.21	1.51
ENSMUSG00000000168	111.29	87.25	88.9	84.82	101.51	104.71
ENSMUSG00000000171	530.4	321.69	526.3	347.24	304.97	535.31
ENSMUSG00000000182	0.08	7.17	0.06	5.78	8.63	0.07
ENSMUSG00000000183	0.05	0.01	0.04	0.0	0.0	0.01
ENSMUSG00000000184	14.32	101.75	14.99	93.54	121.24	15.01
ENSMUSG00000000194	24.11	18.77	20.08	16.27	17.26	29.01
ENSMUSG00000000197	0.0	0.0	0.0	0.02	0.0	0.02
ENSMUSG00000000202	0.02	0.04	0.07	0.0	0.0	0.01
ENSMUSG00000000204	0.03	0.0	0.0	0.0	0.0	0.05
ENSMUSG00000000214	0.45	0.29	0.19	0.06	0.13	0.26
ENSMUSG00000000215	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000216	0.0	0.02	0.0	0.0	0.0	0.0
ENSMUSG00000000223	0.02	0.05	0.07	0.05	0.08	0.04
ENSMUSG00000000244	0.41	0.23	0.51	0.14	0.23	0.65
ENSMUSG00000000247	0.0	0.05	0.0	0.12	0.02	0.0
ENSMUSG00000000248	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000253	14.85	15.76	17.97	19.52	18.12	16.06
ENSMUSG00000000263	0.05	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000266	9.94	12.55	8.29	13.01	15.23	9.57
ENSMUSG00000000275	3.63	3.75	4.63	3.75	3.21	3.59
ENSMUSG00000000276	2.65	1.82	2.02	1.51	1.78	2.06
ENSMUSG00000000278	14.92	34.17	14.85	35.23	36.14	13.3
ENSMUSG00000000282	3.25	2.71	3.96	3.01	3.15	4.04
ENSMUSG00000000290	0.15	2.25	0.07	2.59	2.37	0.05
ENSMUSG00000000295	24.9	18.64	23.21	23.22	19.48	22.92
ENSMUSG00000000296	2.7	1.47	3.68	1.95	2.6	3.3
ENSMUSG00000000301	7.96	4.86	6.5	7.13	4.45	6.89
ENSMUSG00000000303	0.2	0.03	0.29	0.08	0.0	0.35
ENSMUSG00000000305	0.38	0.16	0.2	0.15	0.14	0.18
ENSMUSG00000000308	0.7	1.07	1.33	1.46	1.21	1.19
ENSMUSG00000000317	1.24	1.81	1.51	1.92	1.8	1.58
ENSMUSG00000000318	0.0	0.0	0.09	0.0	0.0	0.01
ENSMUSG00000000320	0.11	0.08	0.03	0.16	0.05	0.02
ENSMUSG00000000326	120.41	89.77	151.97	89.83	80.36	138.69
ENSMUSG00000000339	38.99	22.78	44.91	21.91	20.22	39.62
