Module	Section	Sample Name	Source
QualiMap	genome_results	1-2_raw.sort	/data/jzhang/project/Temp/HYXM-251215018/01.workflow/02.mapping/qualimap_report/1-2_raw/genome_results.txt
QualiMap	genome_results	1-1_raw.sort	/data/jzhang/project/Temp/HYXM-251215018/01.workflow/02.mapping/qualimap_report/1-1_raw/genome_results.txt
QualiMap	genome_results	1-3_raw.sort	/data/jzhang/project/Temp/HYXM-251215018/01.workflow/02.mapping/qualimap_report/1-3_raw/genome_results.txt
QualiMap	genome_results	2-1_raw.sort	/data/jzhang/project/Temp/HYXM-251215018/01.workflow/02.mapping/qualimap_report/2-1_raw/genome_results.txt
QualiMap	genome_results	2-3_raw.sort	/data/jzhang/project/Temp/HYXM-251215018/01.workflow/02.mapping/qualimap_report/2-3_raw/genome_results.txt
QualiMap	genome_results	2-2_raw.sort	/data/jzhang/project/Temp/HYXM-251215018/01.workflow/02.mapping/qualimap_report/2-2_raw/genome_results.txt
QualiMap	coverage_histogram	1-2_raw	/data/jzhang/project/Temp/HYXM-251215018/01.workflow/02.mapping/qualimap_report/1-2_raw/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	1-1_raw	/data/jzhang/project/Temp/HYXM-251215018/01.workflow/02.mapping/qualimap_report/1-1_raw/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	1-3_raw	/data/jzhang/project/Temp/HYXM-251215018/01.workflow/02.mapping/qualimap_report/1-3_raw/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	2-1_raw	/data/jzhang/project/Temp/HYXM-251215018/01.workflow/02.mapping/qualimap_report/2-1_raw/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	2-3_raw	/data/jzhang/project/Temp/HYXM-251215018/01.workflow/02.mapping/qualimap_report/2-3_raw/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	2-2_raw	/data/jzhang/project/Temp/HYXM-251215018/01.workflow/02.mapping/qualimap_report/2-2_raw/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	insert_size_histogram	1-2_raw	/data/jzhang/project/Temp/HYXM-251215018/01.workflow/02.mapping/qualimap_report/1-2_raw/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	1-1_raw	/data/jzhang/project/Temp/HYXM-251215018/01.workflow/02.mapping/qualimap_report/1-1_raw/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	1-3_raw	/data/jzhang/project/Temp/HYXM-251215018/01.workflow/02.mapping/qualimap_report/1-3_raw/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	2-1_raw	/data/jzhang/project/Temp/HYXM-251215018/01.workflow/02.mapping/qualimap_report/2-1_raw/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	2-3_raw	/data/jzhang/project/Temp/HYXM-251215018/01.workflow/02.mapping/qualimap_report/2-3_raw/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	2-2_raw	/data/jzhang/project/Temp/HYXM-251215018/01.workflow/02.mapping/qualimap_report/2-2_raw/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	mapped_gc_distribution	1-2_raw	/data/jzhang/project/Temp/HYXM-251215018/01.workflow/02.mapping/qualimap_report/1-2_raw/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	1-1_raw	/data/jzhang/project/Temp/HYXM-251215018/01.workflow/02.mapping/qualimap_report/1-1_raw/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	1-3_raw	/data/jzhang/project/Temp/HYXM-251215018/01.workflow/02.mapping/qualimap_report/1-3_raw/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	2-1_raw	/data/jzhang/project/Temp/HYXM-251215018/01.workflow/02.mapping/qualimap_report/2-1_raw/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	2-3_raw	/data/jzhang/project/Temp/HYXM-251215018/01.workflow/02.mapping/qualimap_report/2-3_raw/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	2-2_raw	/data/jzhang/project/Temp/HYXM-251215018/01.workflow/02.mapping/qualimap_report/2-2_raw/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
Samtools	stats	1-1_raw_bam_stats	/data/jzhang/project/Temp/HYXM-251215018/01.workflow/02.mapping/samtools_stats/1-1_raw_bam_stats.tsv
Samtools	stats	1-2_raw_bam_stats	/data/jzhang/project/Temp/HYXM-251215018/01.workflow/02.mapping/samtools_stats/1-2_raw_bam_stats.tsv
Samtools	stats	1-3_raw_bam_stats	/data/jzhang/project/Temp/HYXM-251215018/01.workflow/02.mapping/samtools_stats/1-3_raw_bam_stats.tsv
Samtools	stats	2-1_raw_bam_stats	/data/jzhang/project/Temp/HYXM-251215018/01.workflow/02.mapping/samtools_stats/2-1_raw_bam_stats.tsv
Samtools	stats	2-2_raw_bam_stats	/data/jzhang/project/Temp/HYXM-251215018/01.workflow/02.mapping/samtools_stats/2-2_raw_bam_stats.tsv
Samtools	stats	2-3_raw_bam_stats	/data/jzhang/project/Temp/HYXM-251215018/01.workflow/02.mapping/samtools_stats/2-3_raw_bam_stats.tsv
STAR	SummaryLog	1-1_raw	/data/jzhang/project/Temp/HYXM-251215018/01.workflow/02.mapping/STAR/1-1_raw/1-1_raw.Log.final.out
STAR	SummaryLog	1-2_raw	/data/jzhang/project/Temp/HYXM-251215018/01.workflow/02.mapping/STAR/1-2_raw/1-2_raw.Log.final.out
STAR	SummaryLog	1-3_raw	/data/jzhang/project/Temp/HYXM-251215018/01.workflow/02.mapping/STAR/1-3_raw/1-3_raw.Log.final.out
STAR	SummaryLog	2-1_raw	/data/jzhang/project/Temp/HYXM-251215018/01.workflow/02.mapping/STAR/2-1_raw/2-1_raw.Log.final.out
STAR	SummaryLog	2-2_raw	/data/jzhang/project/Temp/HYXM-251215018/01.workflow/02.mapping/STAR/2-2_raw/2-2_raw.Log.final.out
STAR	SummaryLog	2-3_raw	/data/jzhang/project/Temp/HYXM-251215018/01.workflow/02.mapping/STAR/2-3_raw/2-3_raw.Log.final.out
STAR	SummaryLog	Log.final.out	/data/jzhang/project/Temp/HYXM-251215018/01.workflow/02.mapping/STAR/2-2_raw/2-2_raw._STARpass1/Log.final.out
