Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences	fastp-pct_duplication	fastp-after_filtering_q30_rate	fastp-after_filtering_q30_bases	fastp-filtering_result_passed_filter_reads	fastp-after_filtering_gc_content	fastp-pct_surviving	fastp-pct_adapter	fastp-before_filtering_read1_mean_length	fastp-before_filtering_read2_mean_length
1-1_raw							13.5678	96.8737	6303.002293	43.668046	49.3057	96.6228332958729	2.627723200877349	150.0	150.0
1-1_raw_R1	53.60314245794393	49.0	150.0	150	20.0	22.597167									
1-1_raw_R2	64.67397928585116	49.0	150.0	150	10.0	22.597167									
1-2_raw							12.7906	95.8588	6735.266809	47.156375999999995	49.1342	96.08121515973282	2.5887727440246993	150.0	150.0
1-2_raw_R1	54.667000274636564	48.0	150.0	150	20.0	24.539852									
1-2_raw_R2	64.8817657974427	49.0	150.0	150	10.0	24.539852									
1-3_raw							11.738800000000001	96.5414	5880.665311	40.871213999999995	49.4852	96.40125259882934	2.3597202951323837	150.0	150.0
1-3_raw_R1	52.200963987186775	49.0	150.0	150	20.0	21.198487									
1-3_raw_R2	63.0825913501815	49.0	150.0	150	20.0	21.198487									
2-1_raw							23.1323	94.6653	12239.370264	86.86441599999999	49.7143	95.46113406193972	3.191615813063765	150.0	150.0
2-1_raw_R1	65.54530871754129	49.0	150.0	150	20.0	45.497268									
2-1_raw_R2	72.3601734765237	49.0	150.0	150	20.0	45.497268									
2-2_raw							23.8962	95.8666	8202.896117	57.547484	49.1301	95.93291663786886	3.880196869952987	150.0	150.0
2-2_raw_R1	61.45375593370836	48.0	150.0	150	20.0	29.993606999999997									
2-2_raw_R2	69.4513298846403	49.0	150.0	150	10.0	29.993606999999997									
2-3_raw							16.1646	95.3638	7163.777988999999	50.446752	50.621700000000004	95.90685033450167	2.892881329560995	150.0	150.0
2-3_raw_R1	55.13122783352407	50.0	150.0	150	10.0	26.299868999999997									
2-3_raw_R2	63.968347907720755	50.0	150.0	150	20.0	26.299868999999997
