species	tissue_class	tissue_type	uberonongology_id	cancer_type	cell_type	cell_name	cellontology_id	marker	Symbol	GeneID	Genetype	Genename	UNIPROTID	technology_seq	marker_source	PMID	Title	journal	year
Mouse	Abdomen	Muscle	UBERON_0001630	Normal	Normal cell	Fibro-adipogenic progenitor cell		Wisp1	Ccn4	22402	protein_coding	cellular communication network factor 4	O54775	10x Chromium	Experiment	35439171	An estrogen-sensitive fibroblast population drives abdominal muscle fibrosis in an inguinal hernia mouse model	JCI insight	2022
Mouse	Abdomen	Muscle	UBERON_0001630	Normal	Normal cell	Myoblast	CL_0000056	Myod1	Myod1	17927	protein_coding	myogenic differentiation 1	P10085	10x Chromium	Experiment	35439171	An estrogen-sensitive fibroblast population drives abdominal muscle fibrosis in an inguinal hernia mouse model	JCI insight	2022
Mouse	Abdomen	Muscle	UBERON_0001630	Normal	Normal cell	Muscle satellite cell	CL_0000514	Myf5	Myf5	17877	protein_coding	myogenic factor 5	A2RSK4	10x Chromium	Experiment	35439171	An estrogen-sensitive fibroblast population drives abdominal muscle fibrosis in an inguinal hernia mouse model	JCI insight	2022
Mouse	Abdomen	Muscle	UBERON_0001630	Normal	Normal cell	Myocyte	CL_0000187	Ckm	Ckm	12715	protein_coding	"creatine kinase, muscle"	A2RTA0	10x Chromium	Experiment	35439171	An estrogen-sensitive fibroblast population drives abdominal muscle fibrosis in an inguinal hernia mouse model	JCI insight	2022
Mouse	Abdomen	Muscle	UBERON_0001630	Normal	Normal cell	Myocyte	CL_0000187	Acta1	Acta1	11459	protein_coding	"actin alpha 1, skeletal muscle"	P68134	10x Chromium	Experiment	35439171	An estrogen-sensitive fibroblast population drives abdominal muscle fibrosis in an inguinal hernia mouse model	JCI insight	2022
Mouse	Abdomen	Muscle	UBERON_0001630	Normal	Normal cell	Lymphatic endothelial cell	CL_0002138	Ccl21a	Ccl21a	18829	protein_coding	chemokine (C-C motif) ligand 21A (serine)	P84444	10x Chromium	Experiment	35439171	An estrogen-sensitive fibroblast population drives abdominal muscle fibrosis in an inguinal hernia mouse model	JCI insight	2022
Mouse	Abdomen	Muscle	UBERON_0001630	Normal	Normal cell	Fibro-adipogenic progenitor cell		Pdgfra	Pdgfra	18595	protein_coding	"platelet derived growth factor receptor, alpha polypeptide"	P26618	10x Chromium	Experiment	35439171	An estrogen-sensitive fibroblast population drives abdominal muscle fibrosis in an inguinal hernia mouse model	JCI insight	2022
Mouse	Abdomen	Muscle	UBERON_0001630	Normal	Normal cell	Fibro-adipogenic progenitor cell		Cxcl5	Cxcl5	20311	protein_coding	chemokine (C-X-C motif) ligand 5	P50228	10x Chromium	Experiment	35439171	An estrogen-sensitive fibroblast population drives abdominal muscle fibrosis in an inguinal hernia mouse model	JCI insight	2022
Mouse	Abdomen	Muscle	UBERON_0001630	Normal	Normal cell	Tenocyte	CL_0000388	Fmod	Fmod	14264	protein_coding	fibromodulin	P50608	10x Chromium	Experiment	35439171	An estrogen-sensitive fibroblast population drives abdominal muscle fibrosis in an inguinal hernia mouse model	JCI insight	2022
Mouse	Abdomen	Muscle	UBERON_0001630	Normal	Normal cell	Fibro-adipogenic progenitor cell		Ccl7	Ccl7	20306	protein_coding	chemokine (C-C motif) ligand 7	A9Z1Z1	10x Chromium	Experiment	35439171	An estrogen-sensitive fibroblast population drives abdominal muscle fibrosis in an inguinal hernia mouse model	JCI insight	2022
