gene_id	WT_sIM_rep4	WT_sFM_rep3
gene:Solyc00g005280.1	0.0	0.0
gene:Solyc00g005285.2	0.0	0.0
gene:Solyc00g006483.2	0.0	0.0
gene:Solyc00g006487.2	0.0	0.0
gene:Solyc00g006560.2	0.0	0.0
gene:Solyc00g006890.2	0.0	0.0
gene:Solyc00g006900.2	1.13	1.32
gene:Solyc00g007225.2	0.0	0.0
gene:Solyc00g007330.1	0.0	0.0
gene:Solyc00g007340.1	0.0	0.0
gene:Solyc00g007350.1	0.0	0.0
gene:Solyc00g007450.1	0.0	0.0
gene:Solyc00g007920.1	0.0	0.0
gene:Solyc00g007930.1	0.0	0.0
gene:Solyc00g007940.1	0.0	0.0
gene:Solyc00g011560.1	0.0	0.0
gene:Solyc00g011660.1	0.0	0.0
gene:Solyc00g011670.1	0.0	0.0
gene:Solyc00g012540.1	0.0	0.0
gene:Solyc00g013100.1	0.0	0.0
gene:Solyc00g013110.1	0.0	0.0
gene:Solyc00g013170.1	0.0	0.0
gene:Solyc00g013180.1	0.24	0.0
gene:Solyc00g014290.1	0.0	0.0
gene:Solyc00g014790.2	0.0	0.0
gene:Solyc00g014800.1	0.0	0.0
gene:Solyc00g014810.1	0.0	0.0
gene:Solyc00g014850.1	0.0	0.0
gene:Solyc00g014860.1	0.0	0.0
gene:Solyc00g015600.1	0.0	0.0
gene:Solyc00g016590.1	0.0	0.0
gene:Solyc00g019730.2	0.79	0.25
gene:Solyc00g019950.2	0.13	0.15
gene:Solyc00g019970.2	0.16	0.12
gene:Solyc00g019980.3	0.0	0.0
gene:Solyc00g019990.1	0.0	0.0
gene:Solyc00g020000.1	0.0	0.0
gene:Solyc00g020010.1	0.0	0.0
gene:Solyc00g020020.2	0.11	0.07
gene:Solyc00g020030.1	0.0	0.0
gene:Solyc00g020040.1	0.0	0.0
gene:Solyc00g021630.1	0.51	0.0
gene:Solyc00g021640.2	0.06	0.0
gene:Solyc00g021650.1	0.0	0.0
gene:Solyc00g021660.1	0.0	0.0
gene:Solyc00g022070.1	0.0	0.0
gene:Solyc00g022080.1	0.0	0.0
gene:Solyc00g022090.1	0.0	0.0
gene:Solyc00g022100.1	0.54	0.4
gene:Solyc00g023570.1	0.0	0.0
gene:Solyc00g023580.1	0.0	0.0
gene:Solyc00g023590.2	0.0	0.0
gene:Solyc00g023700.2	0.0	0.0
gene:Solyc00g023710.1	0.0	0.0
gene:Solyc00g024160.3	0.22	0.22
gene:Solyc00g024170.2	0.0	0.0
gene:Solyc00g025290.1	0.81	1.15
gene:Solyc00g025300.1	0.0	0.0
gene:Solyc00g025400.2	0.0	0.0
gene:Solyc00g027120.2	0.0	0.0
