GeneID	GO_Type	GO_ID	GO_Description
111875845	molecular_function	GO:0004467	4-coumarate--CoA ligase-like 1
111875845	biological_process	GO:0046949	4-coumarate--CoA ligase-like 1
111875849	molecular_function	GO:0016616	cinnamoyl-CoA reductase-like SNL6
111875850	molecular_function	GO:0003854	cinnamoyl-CoA reductase-like SNL6
111875850	biological_process	GO:0006694	cinnamoyl-CoA reductase-like SNL6
111875851	cellular_component	GO:0005576	expansin-B15
111875851	biological_process	GO:0019953	expansin-B15
111875853	molecular_function	GO:0004714	probable serine/threonine-protein kinase PBL12
111875853	molecular_function	GO:0005524	probable serine/threonine-protein kinase PBL12
111875853	cellular_component	GO:0005886	probable serine/threonine-protein kinase PBL12
111875853	cellular_component	GO:0009506	probable serine/threonine-protein kinase PBL12
111875853	biological_process	GO:0046777	probable serine/threonine-protein kinase PBL12
111875854	molecular_function	GO:0004714	probable serine/threonine-protein kinase PBL26
111875854	molecular_function	GO:0005524	probable serine/threonine-protein kinase PBL26
111875854	cellular_component	GO:0005886	probable serine/threonine-protein kinase PBL26
111875854	cellular_component	GO:0009506	probable serine/threonine-protein kinase PBL26
111875854	biological_process	GO:0046777	probable serine/threonine-protein kinase PBL26
111875854	molecular_function	GO:0046983	probable serine/threonine-protein kinase PBL26
111875857	molecular_function	GO:0003676	uncharacterized LOC111875857
111875857	molecular_function	GO:0005198	uncharacterized LOC111875857
111875857	molecular_function	GO:0008270	uncharacterized LOC111875857
111875858	molecular_function	GO:0004714	putative receptor-like protein kinase At5g39000
111875858	molecular_function	GO:0005515	putative receptor-like protein kinase At5g39000
111875858	molecular_function	GO:0005524	putative receptor-like protein kinase At5g39000
111875858	cellular_component	GO:0005886	putative receptor-like protein kinase At5g39000
111875858	cellular_component	GO:0009506	putative receptor-like protein kinase At5g39000
111875858	biological_process	GO:0046777	putative receptor-like protein kinase At5g39000
111875859	molecular_function	GO:0004714	putative receptor-like protein kinase At5g39000
111875859	molecular_function	GO:0005524	putative receptor-like protein kinase At5g39000
111875859	cellular_component	GO:0005886	putative receptor-like protein kinase At5g39000
111875859	cellular_component	GO:0009506	putative receptor-like protein kinase At5g39000
111875859	biological_process	GO:0046777	putative receptor-like protein kinase At5g39000
111875860	molecular_function	GO:0004672	uncharacterized LOC111875860
111875860	biological_process	GO:0006468	uncharacterized LOC111875860
111875862	molecular_function	GO:0005515	protein GID8 homolog
111875863	molecular_function	GO:0008519	ammonium transporter 1 member 1
111875863	molecular_function	GO:0008519	ammonium transporter 1 member 1
111875863	cellular_component	GO:0016020	ammonium transporter 1 member 1
