"ENSEMBL","Symbol","Description"
"ENSG00000001","Gene1","Demo gene"
"ENSG00000002","Gene2","Demo gene"
"ENSG00000003","Gene3","Demo gene"
"ENSG00000004","Gene4","Demo gene"
"ENSG00000005","Gene5","Demo gene"
"ENSG00000006","Gene6","Demo gene"
"ENSG00000007","Gene7","Demo gene"
"ENSG00000008","Gene8","Demo gene"
"ENSG00000009","Gene9","Demo gene"
"ENSG00000010","Gene10","Demo gene"
"ENSG00000011","Gene11","Demo gene"
"ENSG00000012","Gene12","Demo gene"
"ENSG00000013","Gene13","Demo gene"
"ENSG00000014","Gene14","Demo gene"
"ENSG00000015","Gene15","Demo gene"
"ENSG00000016","Gene16","Demo gene"
"ENSG00000017","Gene17","Demo gene"
"ENSG00000018","Gene18","Demo gene"
"ENSG00000019","Gene19","Demo gene"
"ENSG00000020","Gene20","Demo gene"
"ENSG00000021","Gene21","Demo gene"
"ENSG00000022","Gene22","Demo gene"
"ENSG00000023","Gene23","Demo gene"
"ENSG00000024","Gene24","Demo gene"
"ENSG00000025","Gene25","Demo gene"
"ENSG00000026","Gene26","Demo gene"
"ENSG00000027","Gene27","Demo gene"
"ENSG00000028","Gene28","Demo gene"
"ENSG00000029","Gene29","Demo gene"
"ENSG00000030","Gene30","Demo gene"
"ENSG00000031","Gene31","Demo gene"
"ENSG00000032","Gene32","Demo gene"
"ENSG00000033","Gene33","Demo gene"
"ENSG00000034","Gene34","Demo gene"
"ENSG00000035","Gene35","Demo gene"
"ENSG00000036","Gene36","Demo gene"
"ENSG00000037","Gene37","Demo gene"
"ENSG00000038","Gene38","Demo gene"
"ENSG00000039","Gene39","Demo gene"
"ENSG00000040","Gene40","Demo gene"
"ENSG00000041","Gene41","Demo gene"
"ENSG00000042","Gene42","Demo gene"
"ENSG00000043","Gene43","Demo gene"
"ENSG00000044","Gene44","Demo gene"
"ENSG00000045","Gene45","Demo gene"
"ENSG00000046","Gene46","Demo gene"
"ENSG00000047","Gene47","Demo gene"
"ENSG00000048","Gene48","Demo gene"
"ENSG00000049","Gene49","Demo gene"
"ENSG00000050","Gene50","Demo gene"
"ENSG00000051","Gene51","Demo gene"
"ENSG00000052","Gene52","Demo gene"
"ENSG00000053","Gene53","Demo gene"
"ENSG00000054","Gene54","Demo gene"
"ENSG00000055","Gene55","Demo gene"
"ENSG00000056","Gene56","Demo gene"
"ENSG00000057","Gene57","Demo gene"
"ENSG00000058","Gene58","Demo gene"
"ENSG00000059","Gene59","Demo gene"
"ENSG00000060","Gene60","Demo gene"
"ENSG00000061","Gene61","Demo gene"
"ENSG00000062","Gene62","Demo gene"
"ENSG00000063","Gene63","Demo gene"
"ENSG00000064","Gene64","Demo gene"
"ENSG00000065","Gene65","Demo gene"
"ENSG00000066","Gene66","Demo gene"
"ENSG00000067","Gene67","Demo gene"
"ENSG00000068","Gene68","Demo gene"
"ENSG00000069","Gene69","Demo gene"
"ENSG00000070","Gene70","Demo gene"
"ENSG00000071","Gene71","Demo gene"
"ENSG00000072","Gene72","Demo gene"
"ENSG00000073","Gene73","Demo gene"
"ENSG00000074","Gene74","Demo gene"
"ENSG00000075","Gene75","Demo gene"
"ENSG00000076","Gene76","Demo gene"
"ENSG00000077","Gene77","Demo gene"
"ENSG00000078","Gene78","Demo gene"
"ENSG00000079","Gene79","Demo gene"
"ENSG00000080","Gene80","Demo gene"
"ENSG00000081","Gene81","Demo gene"
"ENSG00000082","Gene82","Demo gene"
"ENSG00000083","Gene83","Demo gene"
"ENSG00000084","Gene84","Demo gene"
"ENSG00000085","Gene85","Demo gene"
"ENSG00000086","Gene86","Demo gene"
"ENSG00000087","Gene87","Demo gene"
"ENSG00000088","Gene88","Demo gene"
"ENSG00000089","Gene89","Demo gene"
"ENSG00000090","Gene90","Demo gene"
"ENSG00000091","Gene91","Demo gene"
"ENSG00000092","Gene92","Demo gene"
"ENSG00000093","Gene93","Demo gene"
"ENSG00000094","Gene94","Demo gene"
"ENSG00000095","Gene95","Demo gene"
"ENSG00000096","Gene96","Demo gene"
"ENSG00000097","Gene97","Demo gene"
"ENSG00000098","Gene98","Demo gene"
"ENSG00000099","Gene99","Demo gene"
