"GeneID","WT_1","WT_2","WT_3","TR_1","TR_2","TR_3","KO_1","RE_1"
"ENSG00000001",387,415,316,364,118,711,315,80
"ENSG00000002",409,180,177,320,76,533,356,53
"ENSG00000003",309,643,367,349,141,802,341,136
"ENSG00000004",90,60,51,110,33,170,58,37
"ENSG00000005",285,301,224,403,179,506,336,118
"ENSG00000006",356,408,485,404,159,829,496,87
"ENSG00000007",495,242,424,941,273,929,798,214
"ENSG00000008",143,101,150,191,62,386,168,50
"ENSG00000009",444,282,289,501,124,833,316,60
"ENSG00000010",386,498,499,446,267,975,556,218
"ENSG00000011",394,589,323,772,317,750,706,119
"ENSG00000012",280,305,415,413,241,787,555,67
"ENSG00000013",231,384,183,662,233,557,445,138
"ENSG00000014",244,212,295,352,126,396,455,131
"ENSG00000015",98,199,89,245,112,249,244,22
"ENSG00000016",301,310,487,622,199,641,317,118
"ENSG00000017",607,866,481,623,409,1198,904,261
"ENSG00000018",305,455,298,868,221,850,502,89
"ENSG00000019",153,215,258,263,113,517,190,94
"ENSG00000020",100,203,90,369,65,369,147,71
"ENSG00000021",527,488,892,1526,285,1040,643,209
"ENSG00000022",499,679,554,1005,276,1876,1029,230
"ENSG00000023",342,344,303,474,281,1241,786,116
"ENSG00000024",452,462,438,427,279,495,423,80
"ENSG00000025",281,285,394,448,157,637,408,110
"ENSG00000026",230,184,230,205,134,447,397,95
"ENSG00000027",539,251,273,684,190,726,426,131
"ENSG00000028",198,202,320,438,157,490,423,97
"ENSG00000029",367,571,341,1183,250,1447,984,261
"ENSG00000030",122,237,277,631,71,349,450,122
"ENSG00000031",284,330,498,791,173,545,258,89
"ENSG00000032",363,471,266,608,223,610,688,175
"ENSG00000033",381,174,271,390,135,469,356,116
"ENSG00000034",120,131,160,291,56,431,379,85
"ENSG00000035",95,130,70,177,55,275,207,61
"ENSG00000036",675,355,514,960,471,969,687,138
"ENSG00000037",327,316,481,852,129,883,624,83
"ENSG00000038",82,125,85,192,89,130,130,32
"ENSG00000039",325,225,452,638,268,1187,399,83
"ENSG00000040",56,85,86,102,33,76,165,16
"ENSG00000041",344,202,239,426,167,458,429,119
"ENSG00000042",264,609,317,737,493,1086,858,217
"ENSG00000043",185,119,154,287,66,406,211,60
"ENSG00000044",812,815,661,1439,482,1481,686,318
"ENSG00000045",210,209,242,370,207,829,301,100
"ENSG00000046",717,422,579,1254,291,1781,597,276
"ENSG00000047",171,230,159,317,91,141,251,68
"ENSG00000048",286,269,403,682,242,366,386,61
"ENSG00000049",362,237,213,697,72,796,364,42
"ENSG00000050",221,341,181,308,171,779,225,82
"ENSG00000051",267,357,281,402,147,613,457,134
"ENSG00000052",216,190,235,372,164,515,170,112
"ENSG00000053",101,135,83,263,68,252,162,26
"ENSG00000054",287,384,411,494,283,692,512,205
"ENSG00000055",300,250,425,539,316,472,594,125
"ENSG00000056",320,223,360,434,149,928,316,65
"ENSG00000057",230,296,360,755,143,763,541,83
"ENSG00000058",263,380,236,523,218,523,315,175
"ENSG00000059",222,227,319,555,132,548,283,170
"ENSG00000060",83,112,202,162,199,297,160,40
"ENSG00000061",329,154,225,727,198,442,412,92
"ENSG00000062",151,110,98,250,47,309,178,66
"ENSG00000063",343,386,80,524,154,926,378,80
"ENSG00000064",168,265,235,645,327,550,528,100
"ENSG00000065",173,99,167,480,119,338,383,89
"ENSG00000066",156,91,160,178,88,262,174,26
"ENSG00000067",322,250,418,501,143,825,244,180
"ENSG00000068",449,276,345,485,151,1232,366,130
"ENSG00000069",708,551,612,698,460,1598,686,161
"ENSG00000070",62,124,230,308,71,282,217,35
"ENSG00000071",471,377,214,868,246,1112,454,296
"ENSG00000072",446,791,1007,1542,338,1699,769,368
"ENSG00000073",1199,504,648,1132,435,702,600,627
"ENSG00000074",74,148,189,426,92,501,300,90
"ENSG00000075",253,383,205,735,147,609,596,128
"ENSG00000076",151,248,189,260,117,550,354,96
"ENSG00000077",242,180,399,384,106,426,458,65
"ENSG00000078",257,204,156,207,73,383,263,95
"ENSG00000079",203,182,240,444,158,455,324,106
"ENSG00000080",395,206,389,677,180,1210,321,177
"ENSG00000081",131,141,124,159,20,187,202,46
"ENSG00000082",341,386,229,735,183,993,530,81
"ENSG00000083",163,371,398,377,158,682,533,131
"ENSG00000084",153,271,218,477,163,533,303,148
"ENSG00000085",181,237,274,554,184,641,271,119
"ENSG00000086",106,191,190,293,62,268,186,32
"ENSG00000087",338,194,298,395,166,572,395,197
"ENSG00000088",512,746,618,1719,514,1029,1063,284
"ENSG00000089",344,546,454,497,214,963,711,77
"ENSG00000090",89,201,314,276,87,370,229,89
"ENSG00000091",293,358,339,575,140,648,228,128
"ENSG00000092",503,371,620,851,256,838,322,128
"ENSG00000093",399,720,745,1281,432,1019,581,192
"ENSG00000094",379,397,240,407,137,463,367,75
"ENSG00000095",213,184,74,303,102,413,266,88
"ENSG00000096",121,206,174,212,77,408,117,86
"ENSG00000097",597,583,835,486,228,799,297,245
"ENSG00000098",157,147,118,270,56,162,89,46
"ENSG00000099",94,228,322,362,141,731,236,92
"ENSG00000100",275,220,227,797,139,382,315,148
"ENSG00000101",290,303,316,220,159,586,363,30
"ENSG00000102",204,197,183,461,126,445,307,50
"ENSG00000103",292,338,267,478,148,639,358,78
"ENSG00000104",259,127,452,261,162,891,273,148
"ENSG00000105",271,226,262,779,243,855,443,112
"ENSG00000106",766,613,541,545,283,877,649,256
"ENSG00000107",291,226,192,754,169,1007,243,74
"ENSG00000108",625,433,544,539,396,1582,694,320
"ENSG00000109",735,817,397,893,299,1446,709,100
"ENSG00000110",254,200,268,541,156,384,216,147
"ENSG00000111",127,158,111,237,118,560,178,81
"ENSG00000112",764,685,468,1296,414,1559,512,249
"ENSG00000113",264,424,474,893,264,928,472,89
"ENSG00000114",258,114,337,383,65,879,611,93
"ENSG00000115",229,136,122,350,106,354,371,71
"ENSG00000116",145,134,252,454,150,357,321,47
"ENSG00000117",315,310,339,527,180,562,289,92
"ENSG00000118",182,228,431,490,230,360,334,70
"ENSG00000119",320,190,231,597,195,461,246,94
"ENSG00000120",335,379,234,685,132,511,403,182
"ENSG00000121",235,203,170,414,89,207,199,116
"ENSG00000122",221,359,310,401,266,765,383,85
"ENSG00000123",491,464,604,1058,214,1009,558,170
"ENSG00000124",159,189,149,331,187,363,297,34
"ENSG00000125",218,196,113,271,100,441,219,50
"ENSG00000126",159,178,239,372,227,403,341,108
"ENSG00000127",326,298,204,399,133,653,383,125
"ENSG00000128",168,454,300,520,141,482,360,110
"ENSG00000129",546,430,420,824,275,742,805,220
"ENSG00000130",184,275,226,434,163,637,460,121
"ENSG00000131",653,520,515,1074,227,839,701,292
"ENSG00000132",458,369,413,663,201,998,663,140
"ENSG00000133",361,395,566,623,276,667,663,166
"ENSG00000134",378,246,347,610,181,659,177,90
"ENSG00000135",274,231,430,393,143,495,373,84
"ENSG00000136",82,76,57,132,68,240,65,24
"ENSG00000137",648,399,714,1052,267,986,444,235
"ENSG00000138",533,289,498,379,185,1070,488,76
"ENSG00000139",182,178,178,300,115,341,248,93
"ENSG00000140",259,307,345,464,134,592,264,178
"ENSG00000141",258,357,342,391,164,596,288,118
"ENSG00000142",429,239,405,635,287,373,279,118
"ENSG00000143",194,229,182,251,69,517,148,107
"ENSG00000144",681,460,811,766,341,1125,710,246
"ENSG00000145",301,270,276,606,135,429,330,92
"ENSG00000146",378,283,314,507,122,657,417,94
"ENSG00000147",479,428,453,584,201,1222,512,250
"ENSG00000148",227,276,190,421,184,492,405,138
"ENSG00000149",474,339,766,1079,255,865,889,230
"ENSG00000150",406,618,401,466,169,766,648,75
"ENSG00000151",178,327,231,334,109,531,399,108
"ENSG00000152",425,451,838,1151,372,1680,709,218
"ENSG00000153",232,191,277,532,160,1121,227,98
"ENSG00000154",126,123,67,114,65,126,70,17
"ENSG00000155",524,271,430,935,203,1737,491,207
"ENSG00000156",125,134,237,165,66,255,423,104
"ENSG00000157",443,473,332,608,273,1231,724,154
"ENSG00000158",127,234,168,147,97,317,241,54
"ENSG00000159",191,302,137,562,84,645,450,93
"ENSG00000160",385,354,531,728,444,1243,574,220
"ENSG00000161",220,230,311,479,165,1020,283,67
"ENSG00000162",669,398,535,1732,492,846,781,298
"ENSG00000163",463,385,504,355,215,993,586,177
"ENSG00000164",337,435,339,883,178,635,372,55
"ENSG00000165",211,163,256,397,131,308,395,65
"ENSG00000166",628,698,602,987,574,1026,781,357
"ENSG00000167",429,413,530,1452,367,1058,668,349
"ENSG00000168",347,346,205,444,280,566,487,64
"ENSG00000169",263,205,379,438,270,862,361,166
"ENSG00000170",276,162,166,549,147,315,293,60
"ENSG00000171",244,223,246,249,107,536,299,68
"ENSG00000172",238,276,347,270,83,591,264,87
"ENSG00000173",243,150,404,602,248,479,535,140
"ENSG00000174",188,358,456,565,194,892,599,107
"ENSG00000175",330,287,340,533,343,647,725,167
"ENSG00000176",161,187,179,302,113,643,384,81
"ENSG00000177",182,158,286,498,139,413,344,113
"ENSG00000178",324,301,382,425,226,620,496,185
