"Source","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO","GO:0009535","chloroplast thylakoid membrane","61/1256","422/24378",2.98565131256736e-13,2.32880802380254e-10,2.14024057248249e-10,"Solyc00g500064/Solyc09g082690/Solyc09g065910/Solyc04g053130/Solyc08g067330/Solyc04g079730/Solyc04g050930/Solyc04g082010/Solyc01g006330/Solyc12g010340/Solyc07g043570/Solyc07g054210/Solyc11g010480/Solyc03g095990/Solyc04g010190/Solyc09g007850/Solyc04g009420/Solyc02g062130/Solyc10g007120/Solyc07g042440/Solyc07g021380/Solyc00g500068/Solyc00g500021/Solyc10g045220/Solyc07g009000/Solyc00g500203/Solyc00g500136/Solyc00g500054/Solyc00g500206/Solyc00g500067/Solyc00g500020/Solyc00g500323/Solyc00g500062/Solyc04g160350/Solyc01g017090/Solyc00g160340/Solyc00g277510/Solyc00g500296/Solyc00g500200/Solyc00g500329/Solyc00g500130/Solyc00g500335/Solyc00g500085/Solyc00g230070/Solyc00g500158/Solyc00g500195/Solyc00g160420/Solyc00g500210/Solyc00g500087/Solyc00g500057/Solyc00g500209/Solyc00g500028/Solyc00g500139/Solyc00g500073/Solyc00g500058/Solyc00g500071/Solyc00g500024/Solyc00g500193/Solyc00g160280/Solyc00g500041/Solyc00g500192",61
"GO","GO:0045156","obsolete electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity","18/1256","47/24378",6.37837294322316e-12,2.48756544785703e-09,2.28614314438683e-09,"Solyc05g007780/Solyc00g500328/Solyc07g009000/Solyc00g500078/Solyc00g500136/Solyc00g500054/Solyc00g500206/Solyc00g277510/Solyc00g500296/Solyc00g500200/Solyc00g500329/Solyc00g500130/Solyc00g230070/Solyc00g500158/Solyc00g500028/Solyc00g500073/Solyc00g500071/Solyc00g500024",18
"KEGG","sly00195","Photosynthesis","17/322","83/11919",5.79078791729863e-11,3.51810825225702e-09,2.49129196810545e-09,"3950466/3950399/3950388/3950401/3950408/3950405/3950484/3950387/3950400/3950425/3950464/101251845/544053/101245163/3950472/101245583/778301",17
"KEGG","sly00190","Oxidative phosphorylation","23/322","162/11919",6.39656045864913e-11,3.51810825225702e-09,2.49129196810545e-09,"3950410/3950452/3950396/3950387/3950453/3950404/34678311/34678269/34678316/34678313/3950425/34678297/34678309/34678274/3950464/34678293/34678261/100736507/3950472/101255513/101268533/101264887/101263000",23
"KEGG","sly00941","Flavonoid biosynthesis","11/322","37/11919",2.1551124373129e-09,7.90207893681397e-08,5.59573053898788e-08,"100736482/544150/101265690/101249265/101266223/778295/101262919/101251607/778294/101262367/101249699",11
"GO","GO:0018298","obsolete protein-chromophore linkage","26/1256","125/24378",9.20638412848098e-10,2.27526033360945e-07,2.09102872764917e-07,"Solyc08g074270/Solyc08g067330/Solyc05g007020/Solyc11g072710/Solyc10g079040/Solyc00g500328/Solyc07g009000/Solyc00g500078/Solyc00g500136/Solyc00g500054/Solyc00g500206/Solyc00g277510/Solyc00g500296/Solyc00g500200/Solyc00g500329/Solyc00g500130/Solyc00g230070/Solyc00g500057/Solyc00g500209/Solyc00g500139/Solyc00g500073/Solyc00g500207/Solyc00g500137/Solyc00g500055/Solyc00g500071/Solyc00g500024",26
"GO","GO:0009772","photosynthetic electron transport in photosystem II","15/1256","42/24378",1.16680017108177e-09,2.27526033360945e-07,2.09102872764917e-07,"Solyc00g500328/Solyc07g009000/Solyc00g500078/Solyc00g500136/Solyc00g500054/Solyc00g500206/Solyc00g277510/Solyc00g500296/Solyc00g500200/Solyc00g500329/Solyc00g500130/Solyc00g230070/Solyc00g500073/Solyc00g500071/Solyc00g500024",15
"GO","GO:0016168","chlorophyll binding","23/1256","109/24378",6.34480401344225e-09,9.89789426096991e-07,9.09644533295615e-07,"Solyc08g067330/Solyc10g079040/Solyc00g500328/Solyc07g009000/Solyc00g500078/Solyc00g500136/Solyc00g500054/Solyc00g500206/Solyc00g277510/Solyc00g500296/Solyc00g500200/Solyc00g500329/Solyc00g500130/Solyc00g230070/Solyc00g500057/Solyc00g500209/Solyc00g500139/Solyc00g500073/Solyc00g500207/Solyc00g500137/Solyc00g500055/Solyc00g500071/Solyc00g500024",23
"KEGG","sly00906","Carotenoid biosynthesis","10/322","39/11919",5.71170277080583e-08,1.5707182619716e-06,1.11227896063061e-06,"543651/543696/101254591/544163/101249565/101254620/101267662/543652/101256252/544129",10
"GO","GO:0015990","electron transport coupled proton transport","15/1256","52/24378",3.25767546419273e-08,4.23497810345056e-06,3.89206489669343e-06,"Solyc00g500169/Solyc00g500349/Solyc00g500062/Solyc04g160350/Solyc01g017090/Solyc00g160340/Solyc00g500195/Solyc00g160420/Solyc00g500186/Solyc00g500098/Solyc00g500317/Solyc00g500271/Solyc00g160280/Solyc00g500250/Solyc00g013180",15
