Source,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO,GO:0015979,photosynthesis,5/12,184/24378,0.0000021,0.000041,0.000031,Solyc00g500064/Solyc02g063527/Solyc03g006100/Solyc06g010200/Solyc10g015800,5
GO,GO:0009507,chloroplast,6/12,418/24378,0.0000048,0.000057,0.000043,Solyc00g500064/Solyc02g063527/Solyc04g007300/Solyc06g010200/Solyc08g012600/Solyc10g015800,6
GO,GO:0009765,photosynthesis light harvesting,3/12,96/24378,0.000018,0.00014,0.00011,Solyc00g500064/Solyc03g006100/Solyc10g015800,3
GO,GO:0006091,generation of precursor metabolites and energy,4/12,271/24378,0.000041,0.00024,0.00019,Solyc02g063527/Solyc04g007300/Solyc06g010200/Solyc09g014100,4
GO,GO:0019684,photosynthesis light reaction,4/12,303/24378,0.000072,0.00036,0.00029,Solyc00g500064/Solyc03g006100/Solyc08g012600/Solyc10g015800,4
KEGG,sly00195,Photosynthesis,4/12,45/31022,0.000012,0.00016,0.00012,100191432/100191676/100192031/100192774,4
KEGG,sly00196,Photosynthesis antenna proteins,3/12,27/31022,0.000038,0.00029,0.00023,100191432/100192031/100192774,3
KEGG,sly01100,Metabolic pathways,6/12,1348/31022,0.00011,0.00058,0.00046,100191676/100192031/100192774/100193002/100193441/100193918,6
KEGG,sly00010,Glycolysis / Gluconeogenesis,3/12,74/31022,0.00043,0.0017,0.0013,100191676/100193002/100193918,3
KEGG,sly01200,Carbon metabolism,4/12,124/31022,0.00091,0.0032,0.0026,100191676/100193002/100193441/100193918,4
