# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "8" "-p" "-t" "exon" "-g" "gene_id" "-a" "/data/yuyuan/rna_my/lettuce_v11/Lsat_Salinas_v11.genome.gtf" "-o" "4_quantification/gene_counts.txt" "3_bam/Bud_rep1.sorted.bam" "3_bam/Bud_rep2.sorted.bam" "3_bam/Bud_rep3.sorted.bam" "3_bam/cot_rep1.sorted.bam" "3_bam/cot_rep2.sorted.bam" "3_bam/cot_rep3.sorted.bam" "3_bam/F1_rep1.sorted.bam" "3_bam/F2_rep1.sorted.bam" "3_bam/L_rep1.sorted.bam" "3_bam/L_rep2.sorted.bam" "3_bam/L_rep3.sorted.bam" "3_bam/n_rep1.sorted.bam" "3_bam/n_rep2.sorted.bam" "3_bam/n_rep3.sorted.bam" "3_bam/O_rep1.sorted.bam" "3_bam/O_rep2.sorted.bam" "3_bam/O_rep3.sorted.bam" "3_bam/R_rep1.sorted.bam" "3_bam/R_rep2.sorted.bam" "3_bam/R_rep3.sorted.bam" "3_bam/S_rep1.sorted.bam" "3_bam/S_rep2.sorted.bam" "3_bam/S_rep3.sorted.bam" "3_bam/stem_rep1.sorted.bam" "3_bam/stem_rep2.sorted.bam" "3_bam/stem_rep3.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	3_bam/Bud_rep1.sorted.bam	3_bam/Bud_rep2.sorted.bam	3_bam/Bud_rep3.sorted.bam	3_bam/cot_rep1.sorted.bam	3_bam/cot_rep2.sorted.bam	3_bam/cot_rep3.sorted.bam	3_bam/F1_rep1.sorted.bam	3_bam/F2_rep1.sorted.bam	3_bam/L_rep1.sorted.bam	3_bam/L_rep2.sorted.bam	3_bam/L_rep3.sorted.bam	3_bam/n_rep1.sorted.bam	3_bam/n_rep2.sorted.bam	3_bam/n_rep3.sorted.bam	3_bam/O_rep1.sorted.bam	3_bam/O_rep2.sorted.bam	3_bam/O_rep3.sorted.bam	3_bam/R_rep1.sorted.bam	3_bam/R_rep2.sorted.bam	3_bam/R_rep3.sorted.bam	3_bam/S_rep1.sorted.bam	3_bam/S_rep2.sorted.bam	3_bam/S_rep3.sorted.bam	3_bam/stem_rep1.sorted.bam	3_bam/stem_rep2.sorted.bam	3_bam/stem_rep3.sorted.bam
LOC111905264	Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1	41678;42051;43789	41939;43646;44768	+;+;+	2838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111905253	Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1	78846;80515;82330;82561;82888;87811;87963;88369;88580;89099;90738;90957;91208;91415	79567;80619;82440;82743;83014;87872;88049;88455;88693;89227;90800;91118;91326;92434	+;+;+;+;+;+;+;+;+;+;+;+;+;+	3091	2510	2595	2392	1525	2140	3099	1580	2573	1427	2110	688	1391	985	901	1949	2844	2249	2911	1991	3505	2184	2521	2152	2470	2594	2180
LOC111903125	Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1	110101;110575;110931;111081;111280	110235;110718;110994;111189;111509	+;+;+;+;+	682	2	2	0	0	1	0	1	0	2	2	1	3	3	1	3	3	0	0	1	2	2	1	0	0	0	0
LOC122194388	Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1	167990;168404;168581;168705;168934	168218;168500;168624;168794;169344	+;+;+;+;+	871	2407	2412	3090	6465	5484	5012	4398	2958	6409	1984	5323	6039	5409	6397	6624	2137	1635	1686	1530	1875	5873	4930	6246	23214	23082	26610
LOC111905255	Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1	169735;170474;170880;172020;172456;173435;173664;174629;174863	170283;170785;170940;172145;173335;173549;174537;174758;175092	+;+;+;+;+;+;+;+;+	3277	371	403	515	80	125	89	135	99	70	77	102	485	254	404	445	237	201	97	94	75	145	234	266	540	666	560
LOC111905258	Lsat_v11_chr1;Lsat_v11_chr1	193245;194367	194261;194989	+;+	1640	1445	1445	1352	330	426	501	1042	958	588	555	365	557	544	556	1013	832	891	661	565	661	812	758	856	703	694	658
LOC111905259	Lsat_v11_chr1;Lsat_v11_chr1	249656;253588	250660;253787	+;+	1205	775	619	571	266	185	186	586	423	172	269	105	295	208	251	447	417	449	328	342	355	322	308	423	321	311	299
LOC111905260	Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1	326854;327203;327724;328105;328242;328431;328711;328922;329597;329869;330210	327109;327346;328015;328168;328355;328593;328849;329475;329778;330129;330744	+;+;+;+;+;+;+;+;+;+;+	2704	204	326	244	51	84	190	104	99	104	126	43	89	97	55	56	37	170	303	183	256	195	375	251	50	110	110
LOC122197441	Lsat_v11_chr1;Lsat_v11_chr1	351295;351713	351658;351798	-;-	450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC128132029	Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1;Lsat_v11_chr1	399241;399241;399541;399541;415275;415275	399453;399453;403623;400137;415612;415612	-;-;-;-;-;-	4634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
